References,Family,Status,ID Number,Name,Name UD,Illustration,Gloss,English equivalent,Norwegian equivalent,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. type of construction,Synt. func. of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type,Usage label,Anchor words,Common fillers,Comment,Dependency Structure,Dependency Structure of Illustration,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Polarity value,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
No references,,ЕВ,3,(а) как же NP-Nom?,(а) как же NP-Nom?,А как же мама?,,What about X? ,Hva med X?,A1,"Конструкция используется для того, чтобы напомнить адресату о [каком-либо факте]Theme, который он должен принять во внимание. Этот факт известен всем участникам беседы.","This construction is used to remind the addressee of [some fact]Theme, which they must take into consideration. This fact is known to all of the participants in the conversation. ",Konstruksjonen anvendes for å minne adressaten på [et faktum]Theme som vedkommende må ta i betraktning. Faktumet er kjent for alle deltakerne i samtalen. ,"Иван поднял голову и спросил: ― А как же [я]Theme? ― Ты будешь жить с женой и воспитывать сына, ― ответила Ирина.","― Всё, ― объявил водитель, ― дальше не поеду. ― Как же [деньги]Theme? Я заплатил за билет!","В нашем городе ему предложили хорошую работу, поэтому он недолго думая сорвался с насиженного места и уехал. ― А как же  [жена и дети]Theme? ― поинтересовалась Маша.","Но как только разговор заходит о семейном обучении, первым делом звучит: «А как же [общение]Theme? [Социализация]Theme?» ","В деревне делали более лёгкую пиццу: тесто поливали оливковым маслом, выкладывали маслины или вообще ничем не украшали. А как же [томаты]Theme, спросите вы. Ведь без них попросту невозможно представить себе пиццу.","NP, Nom",Clause,Praedicative Expression,Not Applicable,"Conjunction, Pronoun, Particle",Reaction to the previous discourse,Surprise,Mirative,,,,,,Theme,Interrogative,NA,"а, как, же",,"Не путать с конструкцией 682. См. другие конструкции, которые содержат ""как же"": 1107, 1108, 1109, 1814, 2015.",[root как [advmod же] [nsubj NP-Nom]]+[root [cc а] как [advmod же] [nsubj NP-Nom]],[root [cc А] как [advmod же] [nsubj мама]?],,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,Surprise,,,,,,,,,,,,,,,
No references,,ЕВ,4,(а) при чём здесь/тут Cop NP-Nom?,(а) при чём здесь/тут Cop NP-Nom?,При чём здесь наши отношения?,,What does X have to do with Y?,Hva har X med saken å gjøre? / Hva har X med det å gjøre?,A2,Конструкция используется для выражения недоумения или непонимания говорящим логической связи между темой дискуссии и последним приведенным [аргументом]Theme.,This construction is used to express the speaker’s confusion or lack of awareness of the logical connection between the topic of discussion and the last stated [argument]Theme.,Konstruksjonen anvendes for å uttrykke at taleren er i villrede eller ikke forstår den logiske forbindelsen mellom samtalens tema og det sist anførte [argumentet]Theme.,"Но при чём здесь [недостатки]Theme, когда речь идёт о собственных детях.","― А при чём тут [я]Theme, ― удивилась Ирина.","Я спросил его, при чём здесь [приезжие гости]Theme, если они никакого отношения к сломанному столу не имеют.","― Кредит, ― сказал он грозно, ― портит отношения. При чем здесь был [кредит]Theme, я не понял.","А у нас даже третьей комнаты нет… Мама не поняла, при чем здесь [третья комната]Theme.","Cop, NP, Nom",Copula Construction,Praedicative Expression,Prepositional Phrase,"Conjunction, Preposition, Pronoun, Adverb",Reaction to the previous discourse,Surprise,,,,,,,Theme,Interrogative / Exclamatory,NA,"а, при, чём, здесь, тут","я, он",No comment yet,"[root [case при] чём [advmod здесь] [cop Cop] [nsubj NP-Nom]?]+
[root [cc а] [case при] чём [advmod тут] [cop Cop] [nsubj NP-Nom]?]+
[root [case при] чём [advmod здесь] [cop Cop] [nsubj NP-Nom]?]+
[root [cc а] [case при] чём [advmod тут] [cop Cop] [nsubj NP-Nom]?]",[root [case При] чём [advmod здесь] [det наши] [nsubj отношения]?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surprise,,,,,,,,,,,,,,,
No references,,ЕВ,5,"(а) Noun-Nom/кто (же) (PronPers-3.Acc) знает, Cl","(а) N-Nom/кто (же) (PronPers-3.Acc) знает, Cl","Кто его знает, почему она так поступила.",,God knows why X did Y,"Gudene vet, ...",C1,"Конструкция обозначает, что по мнению говорящего, [никому]Cognizer не известно об [обстоятельствах какой-либо ситуации]Content. Конструкция буквально сообщает, что эта информация известна только некоторому  [невероятному или недоступному участнику]Cognizer. Если [участник ситуации]Topic, описанной в клаузе, имеет женский род и/или стоит в форме множественного числа, то это можно отражать (заполнитель «её» или «их» в слоте PronPers-3) или не отражать (заполнитель «его» в слоте PronPers-3) в первой части конструкции. Ограничение на имя существительное: бог, чёрт, шут, пёс, бес, леший, дьявол, господь.","This construction indicates that, in the speaker’s opinion, [no one]Cognizer knows about the [circumstances of a given situation]Content. The construction reports that this information is known only to an [implausible or inaccessible participant]Cognizer. If the [participant of the situation]Topic, described in the clause is of feminine gender and/or plural, then is it possible to reflect this (with the fillers “её” or “их” in the PronPers-3 slot) or not to reflect this (by using the filler “его” in the PronPers-3 slot) in the first part of the construction. The noun is limited to the following: бог ‘god’, чёрт ‘devil, шут ‘jester’, пёс ‘dog’, бес ‘demon’, леший ‘forest spirit’, дьявол ‘devil’, господь ‘lord’.",Konstruksjonen anvendes for å uttrykke at taleren er i villrede eller ikke forstår den logiske forbindelsen mellom samtalens tema og det sist anførte [argumentet]Theme.,"[Чёрт]Cognizer [его]Topic знает, [что она вчера вечером делала в лаборатории]Content.","[Бог]Cognizer [его]Topic знает, [где они сейчас]Content.","― [Шут]Cognizer [его]Topic знает, [как оно получилось]Content. Всё считал ― есть сено в запасе, есть. Ещё с прошлого лета стог сена в лесу оставил.","[Чёрт]Cognizer [ее]Topic знает, [что у нее там случилось со здоровьем]Content.","[Бог]Cognizer [их]Topic знает, [зачем они приезжали ― по делам или так, погулять в столице]Content.","Noun, Nom, Cl",Matrix and Sentential Complement Construction,Matrix Predicate,Subject and Predicate,"Conjunction, Pronoun, Particle, Verb",Epistemic modality (Degree of certainty),Low degree of certainty,,,,,,,"Content, Cognizer, Topic",Declarative,Colloquial,"а, кто, же, его, её, их, знает","бог, чёрт, шут, пёс, бес, господь, леший, дьявол","Не путать с другими конструкциями, которые содержат глагол ""знать"": 335, 359, 1061, 2300.","[root [nsubj Noun-Nom] [obj PronPers-3.Acc] знает, [ccomp Cl]]+
[root [nsubj кто] [obj PronPers-3.Acc] знает, [ccomp Cl]]+
[root [nsubj Noun-Nom] [discourse же] [obj PronPers-3.Acc] знает, [ccomp Cl]]+
[root [nsubj кто] [discourse же] [obj PronPers-3.Acc] знает, [ccomp Cl]]+
[root [nsubj Noun-Nom] знает, [ccomp Cl]]+
[root [nsubj кто] знает, [ccomp Cl]]+
[root [nsubj Noun-Nom] [discourse же] знает, [ccomp Cl]]+
[root [nsubj кто] [discourse же] знает, [ccomp Cl]","[root [nsubj Кто] [obj его] знает, [advmod почему] [nsubj она] [advmod так] [ccomp поступила].]",,,,,,,,,,,,,,,,,,,,Low degree of certainty: Missing source of information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No references,Introducing a topic for discussion,EV3,6,(а/так) что насчёт XP?,(а/так) что насчёт XP?,Что насчёт пятницы? Какие у тебя планы?,,What about X? / How about X-ing?,Hva gjør du på X?,B1,"Конструкция обозначает, что говорящий интересуется каким-либо [вопросом]Theme или [темой]Theme, о которой говорилось раньше. Слот может заполняться именной группой, глагольной группой или наречием.","This construction indicates that the speaker is inquiring about a [question]Theme or [topic]Theme that has previously been discussed. The slot can be filled with a noun phrase, verb phrase or an adverb.","Konstruksjonen betyr at taleren forhører seg om [et spørsmål]Theme eller [et tema]Theme som har vært på tale tidligere. Sloten kan fylles av en nominalfrase, en verbalfrase eller et adverb.","А что насчёт [завтра]Theme, мы поедем на дачу?",Так что насчёт [нашего контракта]Theme?,Что насчёт [фильма]Theme? Какой будем сегодня вечером смотреть., ― Так что насчёт [моей просьбы]Theme? ― Еще раз взвесим.,"Вы ранее говорили, что скучаете по своему делу. А что насчёт [вернуться к нему]Theme?","XP, Adv, NP, VP",Clause,Modifier,Not Applicable,"Particle, Pronoun, Preposition",Discourse structure,Topic,,,,,,,Theme,Interrogative,NA,"а, так, что, насчёт","завтра, сегодня, кино",См. не путать с конструкциями 147 как насчёт XP? (Как насчёт выпить?); 687 (а) насчёт NP-Gen – Cl (А насчёт папы – он уехал на рыбалку).,"[root [nsubj что] [case насчёт] XP?]+
[root [cc а] [nsubj что] [case насчёт] XP?]+
[root [part так] [nsubj что] [case насчёт] XP?]",[root [nsubj Что] [case насчёт] пятницы?] [root Какие у тебя планы?],,,,,,,,,,,,,,,,,,,Topic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No references,,ЕВ1,7,NP-Nom Cop похожий-Short на NP-Acc (NP-Ins/по NP-Dat),NP-Nom Cop похожий-Short на NP-Acc (NP-Ins/по NP-Dat),Вася похож на папу.,,X looks like Y / X resembles Y ,X ser ut som Y / X er lik Y,A1,"Конструкция выражает сравнение и обозначает сходство между [объектом]Theme, [участником]Participant или [ситуацией]Situation и [некоторым прототипом]Standard по некоторому [признаку]Property. Сходство необязательно предполагает их полное совпадение.","This construction expresses a comparison and denotes the similarity between an [object]Theme, [participant]Participant or [situation]Situation, and [some prototype]Standard in terms of a certain [attribute]Property. The similarity does not necessarily imply a complete match.  ","Konstruksjonen uttrykker sammenlikning og betegner en likhet mellom [et objekt]Theme, [en deltaker]Participant eller [en situasjon]Situation og [en gitt prototyp]Standard med tanke på et gitt [kjennetegn]Property. Likheten innebærer ikke nødvendigvis noe absolutt sammenfall.",Внешне [эти растения]Theme мало похожи на [кактусы]Standard.,[Девочка]Participant была похожа на [кореянку]Standard.,"И вдруг она появляется в нашем дворе и спрашивает, где я живу. [Это]Situation было похоже на [кошмарный сон]Standard, как если бы за мной явилась колдунья из страшной сказки. ",[Ее комната без окна]Theme была похожа по [размерам]Property на [стенной шкаф]Standard.,"[Мальчик]Participant так был похож на [Игоря]Standard [своим серьезным видом]Property, [всей своей мрачностью]Property, даже прическа была у него такая же, как у Игоря.","NP, Nom, Cop, Short, Acc, Ins, Dat",Copula Construction,Praedicative Expression,Nominal Pattern,"Adjective, Preposition",Comparison,Similarity,,,,,,,"Property, Theme, Standard, Situation, Participant",Not applicable,NA,"похожий, похож, похожа, похоже, похожи, на, по",,"См. похожие конструкции 13, 1180, 1181.","[root [nsubj NP-Nom] [cop Cop] похож [obl[case на] NP-Acc].]+
[root [nsubj NP-Nom] [cop Cop] похож [obl[case на] NP-Acc] [obl[case по] NP-Dat].]+
[root [nsubj NP-Nom] [cop Cop] похож [obl[case на] NP-Acc] [iobj NP-Ins].]",[root [nsubj Вася] похож [obl[case на] папу].],,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"См. также статью Добровольский Д. О., Левонтина И. Б. Тимиологический компонент в семантике русских дискурсивных слов // Труды Института русского языка им. В. В. Виноградова, 2014. № 2. С. 334–343.",,ЕВ1,8,"(вот) то́-то и оно́, что Cl/XP","(вот) то́-то и оно́, что Cl/XP","То-то и оно, что от меня ничего не зависит.",,That's what I'm talking about! ,det er det,C1,"Конструкция обозначает, что говорящий подтверждает правдивость суждения собеседника о [некоторой ситуации]Situation или ее [обстоятельствах]Theme и акцентирует на этом особое внимание. Обычно конструкция используется в ситуации диалога и выражает реакцию говорящего на предшествующую реплику собеседника (примеры 1, 2, 3). Конструкция также встречается при передаче внутренней речи говорящего, которая конструируется как диалог говорящего с самим собой (примеры 4, 5). Часто произносится с укором или назиданием.","This construction means that the speaker confirms the correctness of the conversation partner’s judgement about [a situation]Situation or its [circumstances]Theme and emphasizes this.  Usually, this construction is used in a dialogue and expresses the speaker’s reaction to the preceding remark of his/her conversation partner (examples 1, 2, 3). The construction can also occur when presenting the inner monologue of the speaker that is constructed as a conversation in which the speaker is talking to him- or herself (examples 4, 5). Often said in a reproachful or instructive tone.","Konstruksjonen betyr at taleren bekrefter riktigheten av samtalepartnerens utsagn om [en gitt situasjon]Situation eller [omstendighetene]Theme rundt den, og vektlegger dette. Vanligvis brukes konstruksjonen i en dialogsituasjon og uttrykker talerens reaksjon på samtalepartnerens foregående replikk (eksempel 1, 2 og 3). Konstruksjonen forekommer også ved gjengivelse av indre tale når den tar form av en dialog taleren fører med seg selv (eksempel 4 og 5). Fremføres ofte i en bebreidende eller belærende tone.","Вот то-то и оно, что [все наши претензии к банкам (ну не все, а 90%) ― лишь следствие причиненных нам неудобств]Situation.","― У меня там одно время подруга жила, так я однажды у нее ночевать остался, а машину под окнами поставил. Утром прихожу, колес нет, а машина на стопках кирпичей стоит.  ―  А сигнализация что?  ― спросил Шевцов. ―  То-то и оно, что [сигнализация не сработала!]Situation  ― почти обрадованно воскликнул Васильчиков. ","― Зачем тогда Киселева присылала вам детские фотографии? Зачем хотела с вами встретиться? ― Понятия не имею… ― То-то и оно, что [не знаете и знать не хотите]Situation. А ведь все настолько очевидно! ","Конечно, если там были какие-то переговоры, связанные с завещанием, то разумнее было послать адвоката…  А она почему-то не послала. Так ведь то-то и оно, что [не послала, а пошла сама!]Situation Всё это вихрем носилось у меня в голове…","Квартира почти продана… почти… То-то и оно, что [""почти""]Theme! Если б не это ""почти"", я бы не топтался здесь за бесплатно.","Cl, XP",Matrix and Sentential Complement Construction,Matrix Predicate,Not Applicable,"Particle, Conjunction, Pronoun",Reaction to the previous discourse,Unspecified,Discourse structure,Emphasis,,,,,"Theme, Situation",Declarative,Colloquial,"вот, то-то, и, оно, что",NA,См. близкие по значению конструкции 50 и 1813.,"[root [nsubj то-[advmod то]] [advmod и] оно, [acl:relcl [mark что] Cl/XP]+
[root [advmod вот] [nsubj то-[advmod то]] [advmod и] оно, [acl:relcl [mark что] Cl/XP]","[root [nsubj То-то] [advmod и] оно, [mark что] [obl [case от] меня] [nsubj ничего] [advmod не] [acl:relcl зависит].]",,,,,,,,,,,,,,,,,,,Emphasis,,,,,,,,,,,,,,,,,,,Accentuation,,,,,,,,,,,,,,,
"См. также статью Чуйкова О. Ю. Некоторые особенности выражения значений, соответствующих подготовительной стадии ситуации, в русском языке //Вестник СПбГУ. Серия 9. 2015. Вып. 3. С. 179–189.",,ЕВ,9,(всё) никак не VP-Ipfv,(всё) никак не VP-Imp,Задача всё никак не решалась.,,in no way X,X har aldri Y / X kan ikke Y,C1,"Конструкция обозначает, что какое-либо [действие]Action продолжается долгое время и по-прежнему не заканчивается, несмотря на желание говорящего прекратить или остановить его.","This construction means that some [action]Action has been continuing for a long time and still does not end, despite the speaker’s desire to discontinue or stop it.","Konstruksjonen betyr at [en handling]Action har pågått lenge og enda ikke tar slutt, til tross for talerens ønske om å avslutte eller stanse den.",Он никак не [мог закончить домашнее задание]Action.,Дверь всё никак не [закрывалась]Action.,"А мысль крутится, крутится, никак не [останавливается]Action.","Я изо всех сил вслушивался в её голос и всё никак не [мог вспомнить]Action, кому он принадлежит.","Настя искала и все никак не [находила нужный документ]Action, пока из одной из папок не выпала красненькая книжка.","VP, Ipfv",Head and Modifier Construction,Modifier,Double Negation,"Adverb, Pronoun, Negation Marker",Degree of intensity,Minimizer: Absence,,,,,,,Action,Not applicable,NA,"всё, никак, не","мог, могла, могли",No comment yet,"[root [advmod никак] [advmod не] VP-Ipfv]+
[root [advmod всё] [advmod никак] [advmod не] VP-Ipfv]",[root [nsubj Задача] [advmod всё] [advmod никак] [advmod не] решалась.],,,,,,,,,,,,,,,,,,Minimizer: Absence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No references,,ЕВ1,10,"(единственное) (Prep) что (не) VP, так это (не) XP/Cl","(единственное) (Prep) что (не) VP, так это (не) XP/Cl","Чего дочь не сделала, так это не убралась.",,The only thing that X didn't Y is Z,"den eneste X som Y er Z, f.eks. Det eneste som kan hindre ham, er om noe skjer med våpnene.",B2,"Конструкция особо подчеркивает и конкретизирует некоторое единственное [действие]Action, которое выполнил или не выполнил [участник ситуации]Participant. В некоторых контекстах с отрицанием (примеры 1, 2) может иметь следующее значение: ожидалось, что участник выполнит некоторое действие, однако этого не произошло. Слот XP может заполняться глагольной группой (VP), именной группой (NP) или предложной группой (PP).","This construction emphasizes and specifies a single [action]Action that the [participant in the situation]Participant has performed or failed to perform. Certain contexts with negation (examples 1, 2) may have the following meaning: The participant was expected to perform some action, but this has not occurred. The XP slot can be filled by a verb phrase (VP), noun phrase (NP), or prepositional phrase (PP).","Konstruksjonen fremhever og konkretiserer en [enkelthandling]Action som [en deltaker i situasjonen]Participant har utført eller ikke har utført. I noen tilfeller med nektelse (eksempel 1 og 2) kan den ha følgende betydning: Det var forventet at deltakeren ville utøføre en gitt handling, men det skjedde ikke. Sloten XP kan fylles av en verbalfrase (VP), en nominalfrase (NP) eller en preposisjonsfrase (PP).","Единственное что [он]Experiencer не [понимал]Action, так это [почему все вокруг говорят вполголоса.]Theme","Чего не [хватает]Action [у моих детей]Participant, так это [скромности]Theme.","Единственное в чем [я]Experiencer [сомневаюсь]Action, так это [в твоей преданности]Theme.","Единственное, о чем [сокрушается]Action [Анатолий Александрович]Experiencer, — это то, что [не может посвятить много времени живописи]Theme.","Так что здесь мне все понравилось. Единственное, что не [понравилось]Action, так это [наша игра]Theme.","Prep, VP, XP, Cl, NP, PP",Biclausal Construction,"Argument, Subordinator, Discourse Particle","Negation, Multiword Conjunction","Adjective, Pronoun, Negation Marker, Particle",Quantification,Exclusive,Discourse structure,Emphasis,,,,,"Action, Experiencer, Theme, Participant",Declarative,NA,"единственное, что, не, так, это",,No comment yet,"[root [advcl [obj что] [advmod не] VP], [mark так] [expl это] [advmod не] VP]+
[root единственное [acl [obj что] [advmod не] VP], [csubj [mark так] [expl это] [advmod не] VP]]+
[root [advcl [obj что] VP], [mark так] [expl это] VP]+
[root единственное [acl [obj что] VP], [csubj [mark так] [expl это] VP]]","[root [advcl [obj Чего] [nsubj дочь] [advmod не] сделала], [mark так] [expl это] [advmod не] conj убралась.]",,,,,,,,,,,,,,,,,,,Emphasis,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No references,Reference to the owner of opinion,ЕВ2,11,"(как) по мне, (так) Cl","(как) по мне, (так) Cl","Как по мне, это ещё не беда.",,"As for me, ","Jeg tror, ... / Etter min mening, ... / For meg ...",B2,"Конструкция выражает мнение говорящего по некоторому вопросу и обычно вводит [оценочное высказывание]Evaluation. Конструкция имеет значение 'я считаю, что Cl'.",This construction expresses the speaker’s opinion on some issue and usually introduces an [evaluative statement]Evaluation. The construction encodes the meaning ‘I believe that Cl.’,Konstruksjonen uttrykker talerens mening i en gitt sak og innleder vanligvis [et vurderende utsagn]Evaluation. Konstruksjonen har betydningen 'jeg synes at Cl'.,"Давно собирался посмотреть этот фильм и хотел было уже покупать dvd, а тут узнал, что его как раз по ТВ показывают. И хорошо, что всё-таки не потратил денег — как по мне, [фильм того совершенно не стоил]Evaluation.","Как по мне, так [в вагончике, где мы переодевались и обедали было не намного чище, чем на улице]Evaluation."," Не знаю, по мне, так [ее голос идеально подходит для колыбельной!]Evaluation","Она была в красном платье. Элегантна, стройна, изящна. Но на любителя. По мне ― [больно худая]Evaluation: сразу захотелось накормить ее котлетами. ","По мне, так [это все какая-то большая глупость]Evaluation.",Cl,Clause or XP with parentheticals,Parenthetical,Multiword Conjunction,"Conjunction, Preposition, Pronoun",Source of opinion,Expressing opinion,,,,,,,Evaluation,Declarative,Colloquial,"как, по, мне, так",NA,См. похожие конструкции 264 и 1137.,"[root [parataxis [mark как] [case по] мне]], Cl]+
[root [parataxis [case по] мне]], Cl]","[root [parataxis [mark Как] [case по] мне]], [nsubj это] [advmod ещё] [advmod не] беда.]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expressing opinion,,,,,,,,
No references,Proper time,EV4,12,(не/самое) время Cop VP-Inf,(не/самое) время Cop VP-Inf,Самое время вершить большие дела.,,It's time to X ,det er på tide å X,B1,"Конструкция обозначает, что для совершения некоторого [действия]Action наступил удачный, подходящий момент и этим нужно воспользоваться. Когда используется «не», конструкция обозначает, что момент речи не является удачным для совершения этого действия, а слот заполняется только глаголами несовершенного вида.","This construction means that the right moment has come to perform some [action]Action, and that one must take advantage of this. When “не” is used, the construction means that at the time of the utterance, the moment is not conducive to the successful performance of the action, and the slot is filled only with imperfective verbs.","Konstruksjonen betyr at det rette, passende øyeblikket for å utføre en gitt [handling]Action er kommet og må benyttes. Ved bruk av ""не"" betyr konstruksjonen at taletidspunktet ikke er det rette for å utføre handlingen, og sloten fylles kun av verb i imperfektivt aspekt.",Сейчас не время [спорить.]Action,"Но не время было [размышлять]Action. Иван Дмитриевич бросился девушке на помощь, поручик ― за ним.","― Ладно, мы ходим, ходим, а время [обедать]Action. Давайте купим поесть чего-нибудь и пойдем к тебе.","Сейчас было самое время слегка [проветриться]Action, [прогуляться]Action, [прийти в себя]Action.","Если фрау Урф дает обед в честь русских писателей, то она постарается. Об этом еще будет время [рассказать]Action.","Cop, VP, Inf",Copula Construction,Praedicative Expression,Negation,"Negation Marker, Adjective, Noun",Causation,Indirect,Time,Proper time,,,,,Action,Declarative,NA,"не, самое, время","обедать, рассказать, подумать","См. близкие конструкции со словом ""время"" 74 и 75, а также похожие конструкции со словом ""пора"" 484 и 697.","[root [advmod не] время [cop Cop] [csubj VP-Inf]]+
[root время [cop Cop] [csubj VP-Inf]]",[root [amod Самое] время [csubj вершить [amod большие] [obj дела]].],,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proper time,,,,
